grade,pd,ead,lgd,expected_loss,stressed_expected_loss,loss_increase
A,0.04722792607802875,12733.526521739137,0.85,511.1713418891173,1022.3426837782346,511.1713418891173
B,0.06349206349206349,8470.856874999996,0.85,457.15735515872984,914.3147103174598,457.15735515872996
C,0.0915032679738562,9645.93857142857,0.85,750.2396666666665,1500.479333333333,750.2396666666665
D,0.096,7586.746666666661,0.85,619.0785279999996,1238.1570559999993,619.0785279999998
E,0.2545454545454545,10106.112857142858,0.85,2186.5953272727274,4373.190654545455,2186.5953272727274
F,0.21875,7305.650714285714,0.85,1358.3944296874997,2716.788859375,1358.3944296875002
G,0.25,8888.782727272723,0.85,1888.8663295454535,3777.732659090907,1888.8663295454535
